name	slug	format	source
Agent SRE	agent-sre	svg	https://agentsre.ai/AgentSre-FavIcon.svg
AlertD	alertd	svg	https://cdn.prod.website-files.com/683d1ccbb236320c5058d927/688cce1b15668191454829a6_home-hero.svg
AutonomOps AI	autonomops-ai	png	https://autonomops.ai/favicon/favicon-16x16.png?v=3
Azure SRE Agent	azure-sre-agent	png	https://uhf.microsoft.com/images/microsoft/RE1Mu3b.png
Bacca.ai	bacca-ai	svg	https://cdn.prod.website-files.com/67ddbe7e5fe59c144d5cc0a9/67ddbe7e5fe59c144d5cc0ae_favicon.svg
Beeps	beeps	svg	https://beeps.ai/callout-graphic.svg
BigPanda	bigpanda	svg	https://www.bigpanda.io/wp-content/themes/bigpanda/img/full-logo.svg
Causely	causely	svg	https://www.causely.ai/images/causely-logo-white.svg?dpl=dpl_A16KWnWXq339gm5vLsTzjA6UXJBS
Ciroos	ciroos	svg	https://cdn.prod.website-files.com/682d03f5302c7c8ce215aaa5/682d8406040d9375661d7391_Logo%20full.svg
Cleric	cleric	svg	https://cdn.prod.website-files.com/67ddc1a37dbe46dce8b110bd/6852c2f4cf7aa05209c48858_Cleric-logotype-wh.svg
Cloudship AI	cloudship-ai	svg	https://www.cloudshipai.com/logo.svg
Cokpit	cokpit	svg	https://cokpit.ai/wp-content/uploads/2025/08/docker-icon.svg
Cutover	cutover	svg	https://cdn.prod.website-files.com/628d04e7099dc5d9a4d46fa9/62f65144e2632b463ee07507_cutover-icon-square-reversed-large.svg
DagKnows, Inc	dagknows-inc	png	https://dagknows.ai/favicon.ico (converted from .ico)
Datadog (Bits AI)	datadog-bits-ai	png	https://imgix.datadoghq.com/img/dd_logo_n_70x75.png?fm=png&amp;auto=format&amp;lossless=1
Deductive AI	deductive-ai	svg	https://cdn.prod.website-files.com/66e7cf7e589ead8e06f45979/67c9bffc2da249a85dd0e3b2_Logo%20Dark%20BG.svg
Deeptrace	deeptrace	svg	https://deeptrace.com/logos/mintlify.svg
Edge Delta	edge-delta	svg	https://edgedelta.com/wp-content/themes/edgedelta/assets/images/edgedeltanavlogo.svg
Elastic	elastic	svg	https://www.elastic.co/favicon.svg
FireHydrant	firehydrant	svg	https://firehydrant.com/favicon.svg
Harness Incident Response	harness-incident-response	svg	https://cdn.prod.website-files.com/6222ca42ea87e1bd1aa1d10c/6616e51a0428495515f4b132_nav-dropdown-arrow.svg
HolmesGPT	holmesgpt	png	https://github.com/robusta-dev.png
incident.io	incident-io	png	https://incident.io/apple-touch-icon.png
IncidentFox	incidentfox	png	https://www.incidentfox.ai/public/logo.png
Infrabase	infrabase	svg	https://framerusercontent.com/images/l4mRqxQsXEmrkViT0cGuuKwpQ.svg
K8sGPT	k8sgpt	svg	https://k8sgpt.ai/images/k8sgpt-icon.svg
Komodor	komodor	svg	https://komodor.com/wp-content/uploads/2024/11/komodor-logo-2024.svg
Kura	kura	svg	https://www.usekura.com/kura_logo.svg
Lens K8s IDE	lens-k8s-ide	png	https://lenshq.io/icon1.png?6b6febeedfe0d155
Lightrun	lightrun	svg	https://lightrun.com/wp-content/uploads/2025/12/White.svg
