name	slug	format	source
Agent SRE	agent-sre	svg	(existing)
Agent0 by Dash0	agent0-by-dash0	svg	https://www.dash0.com/shared/logo_colors.svg
AlertD	alertd	png	(existing)
Aurora	aurora	png	https://www.aurorasre.ai/arvo-mark.png
AutonomOps AI	autonomops-ai	png	(existing)
Azure SRE Agent	azure-sre-agent	png	(existing)
Bacca.ai	bacca-ai	svg	(existing)
Beeps	beeps	svg	(existing)
Better Stack AI SRE	better-stack	svg	(existing)
BigPanda	bigpanda	svg	(existing)
Causely	causely	png	https://www.causely.ai/apple-touch-icon.png
Ciroos	ciroos	svg	(existing)
Cleric	cleric	png	(existing)
Cloudgeni	cloudgeni	svg	(existing)
Cloudship AI	cloudship-ai	svg	(existing)
Cokpit	cokpit	png	(existing)
Cutover	cutover	svg	(existing)
DagKnows, Inc	dagknows-inc	png	https://dagknows.ai/favicon.ico
Datadog (Bits AI)	datadog-bits-ai	svg	https://raw.githubusercontent.com/simple-icons/simple-icons/develop/icons/datadog.svg
Deductive AI	deductive-ai	svg	(existing)
Deeptrace	deeptrace	png	https://www.deeptrace.com/favicon.ico?favicon.1b9fb2e4.ico
DrDroid	drdroid	svg	(existing)
Edge Delta	edge-delta	svg	(existing)
Elastic	elastic	svg	(existing)
FireHydrant	firehydrant	svg	(existing)
Harness AI-SRE	harness-ai-sre	png	(existing)
HolmesGPT	holmesgpt	png	(existing)
Hyground	hyground	png	https://hyground.ai/apple-touch-icon.png
incident.io Investigations	incident-io	png	(existing)
IncidentFox	incidentfox	png	(existing)
Infrabase	infrabase	svg	(existing)
Ingero	ingero	png	(existing)
K8sGPT	k8sgpt	svg	(existing)
Kagent	kagent	png	(existing)
KnoxOps	knoxops	png	https://knoxops.app/icon.png?icon.16din2zd.dihs.png
Komodor	komodor	svg	(existing)
KubeStellar Console	kubestellar-console	png	(existing)
Kura	kura	svg	(existing)
Lens K8s IDE	lens-k8s-ide	png	https://lenshq.io/apple-icon1.png?aa9a8b6b33b90fdf
Lightrun	lightrun	svg	(existing)
Logz.io	logz-io	svg	(existing)
Metoro	metoro	png	https://github.com/metoro-io.png
Mezmo	mezmo	png	(existing)
NeuBird AI	neubird-ai	svg	(existing)
NOFire AI	nofire-ai	svg	(existing)
NudgeBee	nudgebee	svg	(existing)
Obot	obot	png	(existing)
Observe, Inc.	observe-inc	svg	(existing)
Oodle	oodle	png	https://github.com/oodle-ai.png
Ops0	ops0	svg	(existing)
OpsCompanion	opscompanion	svg	(existing)
Opsy	opsy	svg	(existing)
PagerDuty SRE Agent	pagerduty	svg	(existing)
Phoebe	phoebe	none	
ProdRescue AI	prodrescue-ai	png	(existing)
Rebase	rebase	png	(existing)
Resolve AI	resolve-ai	svg	(existing)
RobinRelay	robinrelay	png	(existing)
Robusta Dev	robusta	svg	(existing)
Rootly	rootly	svg	(existing)
